source	target
0	1
2	1
3	1
4	5
2	5
2	4
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
3	20
21	20
22	20
23	20
2	24
2	25
2	26
2	27
2	28
2	29
2	30
31	32
33	34
35	2
36	2
37	38
3	39
3	40
3	41
42	41
3	43
3	44
3	45
3	46
3	47
3	48
20	48
3	49
21	50
21	51
21	3
52	53
54	3
3	54
55	56
57	56
58	56
59	60
59	61
62	63
62	60
60	59
60	64
60	62
63	62
64	60
65	66
66	65
67	68
56	55
56	58
56	57
68	67
61	59
69	70
47	46
47	48
47	40
47	1
47	71
47	72
47	50
46	47
46	48
46	40
46	1
46	71
46	72
46	50
48	47
48	46
48	40
48	1
48	71
48	72
48	50
40	47
40	46
40	48
40	1
40	71
40	72
40	50
71	47
71	46
71	48
71	40
71	1
71	72
71	50
1	47
1	46
1	48
1	40
1	71
1	72
1	50
70	69
72	47
72	46
72	48
72	40
72	1
72	71
72	50
50	47
50	46
50	48
50	40
50	1
50	71
50	72
