source	target
0	1
2	1
3	1
4	2
5	2
6	2
3	2
7	8
7	9
2	10
2	11
2	12
10	2
10	13
2	14
2	7
2	15
2	16
2	17
2	13
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	36
2	37
2	38
2	39
2	40
2	41
2	42
2	43
2	44
2	45
2	46
2	47
2	48
2	49
2	3
2	50
2	51
2	52
2	53
16	2
20	2
50	2
7	46
7	2
7	15
7	26
7	23
7	51
12	2
12	54
12	28
12	38
33	2
14	2
14	31
15	2
15	7
15	32
30	2
31	14
31	2
40	2
13	10
13	2
34	2
54	12
19	2
35	2
36	2
26	2
26	7
38	2
38	12
23	2
23	7
39	2
21	2
44	2
42	2
43	2
41	2
25	2
22	2
27	2
24	2
37	2
1	2
3	11
11	2
11	3
28	2
28	12
45	2
18	2
49	2
46	7
46	2
48	2
17	2
47	2
29	2
55	56
57	56
56	55
56	57
51	2
51	7
32	15
32	2
53	2
52	2
58	10
58	59
12	60
12	61
12	62
12	63
12	64
12	25
12	65
12	1
12	66
12	3
12	11
12	67
12	68
12	69
12	70
10	58
10	59
60	12
60	61
60	62
60	63
60	64
60	25
60	65
60	1
60	66
60	3
60	11
60	67
60	68
60	69
60	70
59	58
59	10
63	60
63	12
63	61
63	62
63	64
63	25
63	65
63	1
63	66
63	3
63	11
63	67
63	68
63	69
63	70
64	60
64	12
64	61
64	62
64	63
64	25
64	65
64	1
64	66
64	3
64	11
64	67
64	68
64	69
64	70
1	60
1	12
1	61
1	62
1	63
1	64
1	25
1	65
1	66
1	3
1	11
1	67
1	68
1	69
1	70
65	60
65	12
65	61
65	62
65	63
65	64
65	25
65	1
65	66
65	3
65	11
65	67
65	68
65	69
65	70
3	60
3	12
3	61
3	62
3	63
3	64
3	25
3	65
3	66
3	67
3	68
3	69
3	70
66	60
66	12
66	61
66	62
66	63
66	64
66	25
66	65
66	1
66	3
66	11
66	67
66	68
66	69
66	70
11	60
11	12
11	61
11	62
11	63
11	64
11	25
11	65
11	1
11	66
11	67
11	68
11	69
11	70
61	60
61	12
61	62
61	63
61	64
61	25
61	65
61	1
61	66
61	3
61	11
61	67
61	68
61	69
61	70
25	60
25	12
25	61
25	62
25	63
25	64
25	65
25	1
25	66
25	3
25	11
25	67
25	68
25	69
25	70
62	60
62	12
62	61
62	63
62	64
62	25
62	65
62	1
62	66
62	3
62	11
62	67
62	68
62	69
62	70
67	60
67	12
67	61
67	62
67	63
67	64
67	25
67	65
67	1
67	66
67	3
67	11
67	68
67	69
67	70
68	60
68	12
68	61
68	62
68	63
68	64
68	25
68	65
68	1
68	66
68	3
68	11
68	67
68	69
68	70
69	60
69	12
69	61
69	62
69	63
69	64
69	25
69	65
69	1
69	66
69	3
69	11
69	67
69	68
69	70
70	60
70	12
70	61
70	62
70	63
70	64
70	25
70	65
70	1
70	66
70	3
70	11
70	67
70	68
70	69
