source	target
0	1
2	1
3	1
0	4
1	4
5	4
6	4
0	7
1	7
8	7
2	9
2	10
1	10
2	11
1	12
1	13
1	14
1	15
1	16
1	17
18	17
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
28	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
1	43
1	44
1	45
1	46
1	47
1	48
1	49
1	50
1	51
1	52
1	53
1	54
1	55
1	56
1	57
1	58
1	59
1	60
1	0
1	61
1	62
1	63
1	64
1	65
1	66
1	67
1	68
1	69
1	70
1	71
1	72
1	73
1	74
1	75
1	76
1	77
1	78
1	79
1	80
1	81
1	82
1	83
1	84
1	85
1	86
1	87
1	88
1	89
1	90
1	91
1	92
1	93
1	94
1	95
1	96
1	97
1	98
1	99
1	100
1	101
1	102
1	103
1	104
1	105
1	106
1	107
1	108
1	109
1	110
1	111
1	112
1	113
1	114
1	115
1	116
1	117
7	1
7	108
7	109
7	110
7	118
7	42
77	34
77	1
77	33
77	119
77	120
77	69
77	89
77	121
77	43
77	122
77	88
77	59
77	60
77	123
77	124
77	125
77	126
108	7
108	1
30	1
114	1
127	128
128	127
128	129
128	130
34	1
34	77
109	7
109	1
35	1
97	131
97	132
97	1
96	1
94	1
133	134
133	100
118	7
75	1
80	1
31	1
78	1
131	97
76	1
119	77
36	1
32	1
79	1
81	1
33	1
33	77
82	1
37	1
102	1
38	1
39	1
86	1
85	1
85	41
40	1
120	77
103	1
104	1
83	1
63	1
41	1
41	85
95	1
115	1
105	1
69	1
69	77
66	1
71	1
71	87
67	1
67	113
65	1
87	1
87	42
87	71
135	111
136	137
121	77
89	77
89	1
117	74
117	1
74	1
74	117
138	139
64	1
134	133
116	1
139	138
70	1
137	136
43	1
43	77
92	1
92	140
92	141
92	142
44	1
91	1
122	77
143	144
143	145
47	1
90	1
55	1
46	1
45	1
144	143
49	1
93	1
112	61
112	1
110	7
110	1
51	1
42	1
42	7
42	87
42	88
88	77
88	1
88	42
53	1
52	1
84	1
68	1
54	1
56	1
132	97
72	1
106	1
129	128
130	128
98	1
140	92
141	92
61	1
61	112
100	1
100	133
107	1
99	1
58	1
101	1
101	146
57	1
59	1
59	77
145	143
60	1
60	77
147	148
111	135
111	1
111	149
111	146
123	77
142	92
149	111
146	101
146	111
124	77
125	77
62	1
148	147
50	1
113	67
113	1
73	1
48	1
126	77
7	8
7	10
7	150
7	29
7	21
7	5
7	151
7	152
7	4
7	153
7	27
8	10
8	150
8	29
8	21
8	5
8	151
8	152
8	4
8	153
8	27
10	8
10	7
10	150
10	29
10	21
10	5
10	151
10	152
10	4
10	153
10	27
27	8
27	7
27	10
27	150
27	29
27	21
27	5
27	151
27	152
27	4
27	153
150	8
150	7
150	10
150	29
150	21
150	5
150	151
150	152
150	4
150	153
150	27
153	8
153	7
153	10
153	150
153	29
153	21
153	5
153	151
153	152
153	4
153	27
21	8
21	7
21	10
21	150
21	29
21	5
21	151
21	152
21	4
21	153
21	27
29	8
29	7
29	10
29	150
29	21
29	5
29	151
29	152
29	4
29	153
29	27
5	8
5	7
5	10
5	150
5	29
5	21
5	151
5	152
5	153
5	27
151	8
151	7
151	10
151	150
151	29
151	21
151	5
151	152
151	4
151	153
151	27
154	77
152	8
152	7
152	10
152	150
152	29
152	21
152	5
152	151
152	4
152	153
152	27
77	154
4	8
4	7
4	10
4	150
4	29
4	21
4	5
4	151
4	152
4	153
4	27
